tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:1:0,1,465,0,0,0,4,88
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:1:1,1,431,0,0,0,3,88
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:1:2,1,474,0,0,0,1,88
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:1:3,1,418,0,0,0,5,88
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:1:5,1,420,0,0,0,2,88
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:1:6,1,345,0,0,0,5,88
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:1:7,1,350,0,0,0,3,88
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:2:0,2,218,0,0,0,12,93
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:2:3,2,223,0,0,0,14,93
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:2:5,2,225,0,0,0,6,93
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:4:0,4,380,0,0,0,8,46
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:4:1,4,335,0,0,0,8,46
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:4:2,4,313,0,0,0,8,46
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:4:3,4,321,0,0,0,11,46
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:4:5,4,441,0,0,0,8,46
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:4:6,4,384,0,0,0,11,46
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:5:0,5,52,0,0,0,50,94
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:9:5,9,401,0,0,0,15,54
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:9:7,9,2,0,0,0,14,54
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:11:6,11,13,0,0,0,22,43
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:12:1,12,411,0,0,0,39,57
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:12:4,12,339,0,0,0,32,57
qwen3-8b-keep4-s42,qwen3-8b-keep4-s42:12:6,12,420,0,0,0,26,57
